2026-05-02 14:30:55,137 | INFO | snowflake_raw_loader | Running statement 14/15
2026-05-02 14:30:55,783 | INFO | snowflake_raw_loader | Statement 14 completed successfully
2026-05-02 14:30:55,784 | INFO | snowflake_raw_loader | Running statement 15/15
2026-05-02 14:30:56,376 | INFO | snowflake_raw_loader | Statement 15 completed successfully
2026-05-02 14:30:56,376 | INFO | snowflake_raw_loader | Automated S3 to Snowflake RAW load completed successfully
2026-05-02 14:30:56,563 | INFO | snowflake_raw_loader | Snowflake connection closed
2026-05-02 14:32:20,832 | INFO | snowflake_raw_loader | Starting automated S3 to Snowflake RAW load
2026-05-02 14:32:22,355 | INFO | snowflake_raw_loader | Executing SQL file: sql/load_raw_from_s3.sql
2026-05-02 14:32:22,355 | INFO | snowflake_raw_loader | Running statement 1/15
2026-05-02 14:32:22,533 | INFO | snowflake_raw_loader | Statement 1 completed successfully
2026-05-02 14:32:22,533 | INFO | snowflake_raw_loader | Running statement 2/15
2026-05-02 14:32:22,692 | INFO | snowflake_raw_loader | Statement 2 completed successfully
2026-05-02 14:32:22,693 | INFO | snowflake_raw_loader | Running statement 3/15
2026-05-02 14:32:22,844 | INFO | snowflake_raw_loader | Statement 3 completed successfully
2026-05-02 14:32:22,844 | INFO | snowflake_raw_loader | Running statement 4/15
2026-05-02 14:32:22,987 | INFO | snowflake_raw_loader | Statement 4 completed successfully
2026-05-02 14:32:22,988 | INFO | snowflake_raw_loader | Running statement 5/15
2026-05-02 14:32:23,145 | INFO | snowflake_raw_loader | Statement 5 completed successfully
2026-05-02 14:32:23,146 | INFO | snowflake_raw_loader | Running statement 6/15
2026-05-02 14:32:23,293 | INFO | snowflake_raw_loader | Statement 6 completed successfully
2026-05-02 14:32:23,294 | INFO | snowflake_raw_loader | Running statement 7/15
2026-05-02 14:32:29,334 | INFO | snowflake_raw_loader | Statement 7 completed successfully
2026-05-02 14:32:29,334 | INFO | snowflake_raw_loader | Running statement 8/15
2026-05-02 14:32:52,579 | INFO | snowflake_raw_loader | Statement 8 completed successfully
2026-05-02 14:32:52,579 | INFO | snowflake_raw_loader | Running statement 9/15
2026-05-02 14:32:53,910 | INFO | snowflake_raw_loader | Statement 9 completed successfully
2026-05-02 14:32:53,910 | INFO | snowflake_raw_loader | Running statement 10/15
2026-05-02 14:32:55,548 | INFO | snowflake_raw_loader | Statement 10 completed successfully
2026-05-02 14:32:55,549 | INFO | snowflake_raw_loader | Running statement 11/15
2026-05-02 14:32:56,163 | INFO | snowflake_raw_loader | Statement 11 completed successfully
2026-05-02 14:32:56,163 | INFO | snowflake_raw_loader | Running statement 12/15
2026-05-02 14:32:56,879 | INFO | snowflake_raw_loader | Statement 12 completed successfully
2026-05-02 14:32:56,880 | INFO | snowflake_raw_loader | Running statement 13/15
2026-05-02 14:32:57,265 | INFO | snowflake_raw_loader | Statement 13 completed successfully
2026-05-02 14:32:57,265 | INFO | snowflake_raw_loader | Running statement 14/15
2026-05-02 14:32:57,739 | INFO | snowflake_raw_loader | Statement 14 completed successfully
2026-05-02 14:32:57,739 | INFO | snowflake_raw_loader | Running statement 15/15
2026-05-02 14:32:58,276 | INFO | snowflake_raw_loader | Statement 15 completed successfully
2026-05-02 14:32:58,277 | INFO | snowflake_raw_loader | Automated S3 to Snowflake RAW load completed successfully
2026-05-02 14:32:58,456 | INFO | snowflake_raw_loader | Snowflake connection closed
2026-05-02 15:12:29,394 | INFO | snowflake_raw_loader | Starting automated S3 to Snowflake RAW load
2026-05-02 15:12:30,804 | INFO | snowflake_raw_loader | Executing SQL file: sql/load_raw_from_s3.sql
2026-05-02 15:12:30,805 | INFO | snowflake_raw_loader | Running statement 1/15
2026-05-02 15:12:31,029 | INFO | snowflake_raw_loader | Statement 1 completed successfully
2026-05-02 15:12:31,029 | INFO | snowflake_raw_loader | Running statement 2/15
2026-05-02 15:12:31,181 | INFO | snowflake_raw_loader | Statement 2 completed successfully
2026-05-02 15:12:31,182 | INFO | snowflake_raw_loader | Running statement 3/15
2026-05-02 15:12:31,347 | INFO | snowflake_raw_loader | Statement 3 completed successfully
2026-05-02 15:12:31,348 | INFO | snowflake_raw_loader | Running statement 4/15
2026-05-02 15:12:31,522 | INFO | snowflake_raw_loader | Statement 4 completed successfully
2026-05-02 15:12:31,523 | INFO | snowflake_raw_loader | Running statement 5/15
2026-05-02 15:12:31,699 | INFO | snowflake_raw_loader | Statement 5 completed successfully
2026-05-02 15:12:31,700 | INFO | snowflake_raw_loader | Running statement 6/15
2026-05-02 15:12:31,842 | INFO | snowflake_raw_loader | Statement 6 completed successfully
2026-05-02 15:12:31,843 | INFO | snowflake_raw_loader | Running statement 7/15
2026-05-02 15:12:39,711 | INFO | snowflake_raw_loader | Statement 7 completed successfully
2026-05-02 15:12:39,711 | INFO | snowflake_raw_loader | Running statement 8/15
2026-05-02 15:13:06,105 | INFO | snowflake_raw_loader | Statement 8 completed successfully
2026-05-02 15:13:06,106 | INFO | snowflake_raw_loader | Running statement 9/15
2026-05-02 15:13:07,463 | INFO | snowflake_raw_loader | Statement 9 completed successfully
2026-05-02 15:13:07,464 | INFO | snowflake_raw_loader | Running statement 10/15
2026-05-02 15:13:11,354 | INFO | snowflake_raw_loader | Statement 10 completed successfully
2026-05-02 15:13:11,354 | INFO | snowflake_raw_loader | Running statement 11/15
2026-05-02 15:13:11,968 | INFO | snowflake_raw_loader | Statement 11 completed successfully
2026-05-02 15:13:11,968 | INFO | snowflake_raw_loader | Running statement 12/15
2026-05-02 15:13:12,481 | INFO | snowflake_raw_loader | Statement 12 completed successfully
2026-05-02 15:13:12,482 | INFO | snowflake_raw_loader | Running statement 13/15
2026-05-02 15:13:12,870 | INFO | snowflake_raw_loader | Statement 13 completed successfully
2026-05-02 15:13:12,871 | INFO | snowflake_raw_loader | Running statement 14/15
2026-05-02 15:13:13,299 | INFO | snowflake_raw_loader | Statement 14 completed successfully
2026-05-02 15:13:13,299 | INFO | snowflake_raw_loader | Running statement 15/15
2026-05-02 15:13:13,912 | INFO | snowflake_raw_loader | Statement 15 completed successfully
2026-05-02 15:13:13,913 | INFO | snowflake_raw_loader | Automated S3 to Snowflake RAW load completed successfully
2026-05-02 15:13:14,114 | INFO | snowflake_raw_loader | Snowflake connection closed
2026-05-02 15:41:51,518 | INFO | snowflake_raw_loader | Starting automated S3 to Snowflake RAW load
2026-05-02 15:41:52,603 | INFO | snowflake_raw_loader | Executing SQL file: sql/load_raw_from_s3.sql
2026-05-02 15:41:52,604 | INFO | snowflake_raw_loader | Running statement 1/15
2026-05-02 15:41:52,780 | INFO | snowflake_raw_loader | Statement 1 completed successfully
2026-05-02 15:41:52,780 | INFO | snowflake_raw_loader | Running statement 2/15
2026-05-02 15:41:52,901 | INFO | snowflake_raw_loader | Statement 2 completed successfully
2026-05-02 15:41:52,901 | INFO | snowflake_raw_loader | Running statement 3/15
2026-05-02 15:41:53,019 | INFO | snowflake_raw_loader | Statement 3 completed successfully
2026-05-02 15:41:53,019 | INFO | snowflake_raw_loader | Running statement 4/15
2026-05-02 15:41:53,130 | INFO | snowflake_raw_loader | Statement 4 completed successfully
2026-05-02 15:41:53,131 | INFO | snowflake_raw_loader | Running statement 5/15
2026-05-02 15:41:53,596 | INFO | snowflake_raw_loader | Statement 5 completed successfully
2026-05-02 15:41:53,596 | INFO | snowflake_raw_loader | Running statement 6/15
2026-05-02 15:41:53,750 | INFO | snowflake_raw_loader | Statement 6 completed successfully
2026-05-02 15:41:53,750 | INFO | snowflake_raw_loader | Running statement 7/15
2026-05-02 15:41:59,780 | INFO | snowflake_raw_loader | Statement 7 completed successfully
2026-05-02 15:41:59,780 | INFO | snowflake_raw_loader | Running statement 8/15
2026-05-02 15:42:24,118 | INFO | snowflake_raw_loader | Statement 8 completed successfully
2026-05-02 15:42:24,119 | INFO | snowflake_raw_loader | Running statement 9/15
2026-05-02 15:42:25,345 | INFO | snowflake_raw_loader | Statement 9 completed successfully
2026-05-02 15:42:25,345 | INFO | snowflake_raw_loader | Running statement 10/15
2026-05-02 15:42:26,752 | INFO | snowflake_raw_loader | Statement 10 completed successfully
2026-05-02 15:42:26,753 | INFO | snowflake_raw_loader | Running statement 11/15
2026-05-02 15:42:27,252 | INFO | snowflake_raw_loader | Statement 11 completed successfully
2026-05-02 15:42:27,252 | INFO | snowflake_raw_loader | Running statement 12/15
2026-05-02 15:42:27,599 | INFO | snowflake_raw_loader | Statement 12 completed successfully
2026-05-02 15:42:27,600 | INFO | snowflake_raw_loader | Running statement 13/15
2026-05-02 15:42:27,973 | INFO | snowflake_raw_loader | Statement 13 completed successfully
2026-05-02 15:42:27,974 | INFO | snowflake_raw_loader | Running statement 14/15
2026-05-02 15:42:28,378 | INFO | snowflake_raw_loader | Statement 14 completed successfully
2026-05-02 15:42:28,379 | INFO | snowflake_raw_loader | Running statement 15/15
2026-05-02 15:42:28,629 | INFO | snowflake_raw_loader | Statement 15 completed successfully
2026-05-02 15:42:28,630 | INFO | snowflake_raw_loader | Automated S3 to Snowflake RAW load completed successfully
2026-05-02 15:42:28,823 | INFO | snowflake_raw_loader | Snowflake connection closed
