2026-05-02 15:36:49,521 | INFO | recomart_sql_runner | Statement 9: row=('s3://recomartdatalake/raw/recomart/category_tree/ingestion_date=2026-04-30/category_tree.csv', 'LOADED', 1669, 1669, 1669, 0, None, None, None, None)
2026-05-02 15:36:49,521 | INFO | recomart_sql_runner | Statement 9: row=('s3://recomartdatalake/raw/recomart/category_tree/ingestion_date=2026-05-02/category_tree.csv', 'LOADED', 1669, 1669, 1669, 0, None, None, None, None)
2026-05-02 15:36:49,521 | INFO | recomart_sql_runner | ================================================================================
2026-05-02 15:36:49,521 | INFO | recomart_sql_runner | Running statement 10/15
2026-05-02 15:36:49,522 | INFO | recomart_sql_runner | SQL preview: COPY INTO RAW.RAW_EXTERNAL_PRODUCTS ( PRODUCT_JSON, SOURCE_FILE_NAME, INGESTION_DATE, BATCH_ID ) FROM ( SELECT $1 AS PRODUCT_JSON, METADATA$FILENAME AS SOURCE_FILE_NAME, TRY_TO_DATE( REGEXP_SUBSTR( METADATA$FILENAME, 'ingestion_date=([0-9]{4}-[0-9]{2}-[0-9]{2})', 1, 1, 'e', 1 ) ) AS INGESTION_DATE, 
2026-05-02 15:36:51,261 | INFO | recomart_sql_runner | Statement 10 completed successfully
2026-05-02 15:36:51,261 | INFO | recomart_sql_runner | Statement 10: result preview columns=['file', 'status', 'rows_parsed', 'rows_loaded', 'error_limit', 'errors_seen', 'first_error', 'first_error_line', 'first_error_character', 'first_error_column_name']
2026-05-02 15:36:51,261 | INFO | recomart_sql_runner | Statement 10: row=('s3://recomartdatalake/raw/external_api/dummyjson_products/ingestion_date=2026-05-02/products.json', 'LOADED', 1, 1, 1, 0, None, None, None, None)
2026-05-02 15:36:51,261 | INFO | recomart_sql_runner | Statement 10: row=('s3://recomartdatalake/raw/external_api/dummyjson_products/ingestion_date=2026-04-30/products.json', 'LOADED', 1, 1, 1, 0, None, None, None, None)
2026-05-02 15:36:51,261 | INFO | recomart_sql_runner | ================================================================================
2026-05-02 15:36:51,261 | INFO | recomart_sql_runner | Running statement 11/15
2026-05-02 15:36:51,262 | INFO | recomart_sql_runner | SQL preview: INSERT INTO OPS.INGESTION_AUDIT_LOG ( BATCH_ID, SOURCE_SYSTEM, SOURCE_NAME, SOURCE_PATH, TARGET_TABLE, FILE_NAME, ROWS_LOADED, ROWS_FAILED, INGESTION_STATUS, ERROR_MESSAGE, START_TS, END_TS ) SELECT $LOAD_BATCH_ID, 'RECOMART', 'events', 's3://recomartdatalake/raw/recomart/events/', 'RAW.RAW_RECOMART
2026-05-02 15:36:51,875 | INFO | recomart_sql_runner | Statement 11 completed successfully
2026-05-02 15:36:51,876 | INFO | recomart_sql_runner | Statement 11: result preview columns=['number of rows inserted']
2026-05-02 15:36:51,876 | INFO | recomart_sql_runner | Statement 11: row=(1,)
2026-05-02 15:36:51,876 | INFO | recomart_sql_runner | ================================================================================
2026-05-02 15:36:51,876 | INFO | recomart_sql_runner | Running statement 12/15
2026-05-02 15:36:51,876 | INFO | recomart_sql_runner | SQL preview: INSERT INTO OPS.INGESTION_AUDIT_LOG ( BATCH_ID, SOURCE_SYSTEM, SOURCE_NAME, SOURCE_PATH, TARGET_TABLE, FILE_NAME, ROWS_LOADED, ROWS_FAILED, INGESTION_STATUS, ERROR_MESSAGE, START_TS, END_TS ) SELECT $LOAD_BATCH_ID, 'RECOMART', 'item_properties', 's3://recomartdatalake/raw/recomart/item_properties/',
2026-05-02 15:36:52,387 | INFO | recomart_sql_runner | Statement 12 completed successfully
2026-05-02 15:36:52,387 | INFO | recomart_sql_runner | Statement 12: result preview columns=['number of rows inserted']
2026-05-02 15:36:52,388 | INFO | recomart_sql_runner | Statement 12: row=(1,)
2026-05-02 15:36:52,388 | INFO | recomart_sql_runner | ================================================================================
2026-05-02 15:36:52,388 | INFO | recomart_sql_runner | Running statement 13/15
2026-05-02 15:36:52,388 | INFO | recomart_sql_runner | SQL preview: INSERT INTO OPS.INGESTION_AUDIT_LOG ( BATCH_ID, SOURCE_SYSTEM, SOURCE_NAME, SOURCE_PATH, TARGET_TABLE, FILE_NAME, ROWS_LOADED, ROWS_FAILED, INGESTION_STATUS, ERROR_MESSAGE, START_TS, END_TS ) SELECT $LOAD_BATCH_ID, 'RECOMART', 'category_tree', 's3://recomartdatalake/raw/recomart/category_tree/', 'RA
2026-05-02 15:36:52,770 | INFO | recomart_sql_runner | Statement 13 completed successfully
2026-05-02 15:36:52,771 | INFO | recomart_sql_runner | Statement 13: result preview columns=['number of rows inserted']
2026-05-02 15:36:52,771 | INFO | recomart_sql_runner | Statement 13: row=(1,)
